DatasetUUID,Topic
ee340f99-ff0f-4727-a45f-72c9b2583eab,Local Government
e2f87995-1070-478f-95f7-060d79b1c9a6,Local Government
4c5d0731-9a5e-4429-932c-0c044b91627b,Local Government
0db5bc4c-c8b2-484f-bcd5-22e92a9db3e7,Local Government
9634319e-03f6-43fd-a39d-4d8112080b2b,Local Government
5ddcb4d7-ae14-46dc-b184-7130d883a508,Local Government
eaec46b7-bf7f-45a4-a8ff-d6689846241d,Local Government
ccdb7614-8f2e-4241-8ad4-3c7fb83c6c21,Local Government
edc44232-b923-483a-a51e-73f3a8c8fb46,Local Government
8cac6ce5-14d3-4016-954e-d6160f024294,ClimateTransportationTransportation Network
8cac6ce5-14d3-4016-954e-d6160f024294,Transportation
8cac6ce5-14d3-4016-954e-d6160f024294,Transportation Network
ab0285f8-36cb-4378-9fb3-3cde1a31d3c5,Local Government
a354c70e-e01f-4e48-8e98-ed55a51dabe0,ClimateEnergy Infrastructure
a354c70e-e01f-4e48-8e98-ed55a51dabe0,Energy Infrastructure
8a001dff-e690-4b27-9350-f14b85d54e67,Climate
d02310d6-04f5-4146-825b-fe45d449df05,Local Government
f8ff9768-0112-4d6b-be8d-2d8db9826156,Local Government
950b6b75-9b42-4f73-a877-0a18382f68b5,Local Government
c143ddc9-231c-4cc5-99a0-2696f65acb60,Local Government
93bca5fe-4a49-462f-9cc4-4b844b1e696d,Local Government
064d1551-f339-4c4b-863a-f86f3f33e24a,ClimateTransportationTransportation Nodes
064d1551-f339-4c4b-863a-f86f3f33e24a,Transportation
064d1551-f339-4c4b-863a-f86f3f33e24a,Transportation Nodes
6e8953ea-a2e9-4142-aac9-432cceec2c43,Local Government
d5d23190-62ce-4eaa-b380-c3c2b39c5eda,Local Government
fe3f8e9b-45ce-4ca8-9a3c-3166327ce9a1,ClimateTransportationTransportation Nodes
fe3f8e9b-45ce-4ca8-9a3c-3166327ce9a1,Transportation
fe3f8e9b-45ce-4ca8-9a3c-3166327ce9a1,Transportation Nodes
a39acbaf-cc18-4e71-afd4-c880d3902aea,"ClimateArcticArctic Ocean, Sea Ice and CoastsArctic-Global Teleconnections"
a39acbaf-cc18-4e71-afd4-c880d3902aea,Arctic
a39acbaf-cc18-4e71-afd4-c880d3902aea,"Arctic Ocean, Sea Ice and Coasts"
a39acbaf-cc18-4e71-afd4-c880d3902aea,Arctic-Global Teleconnections
c4a8a3ae-2ae6-4e57-8af0-58a1627b19ae,Local Government
2088fff2-63e3-4d63-a663-f31b9640da4d,Local Government
07c0466f-39cc-450a-b8bf-d7ccaf1a91dd,Local Government
7714f740-9d56-45c0-b190-ba7e3f4b0934,Local Government
425ea689-5824-484e-8d51-2e8bdb715564,Local Government
2fb0f5b6-ebe7-41f2-9aca-e48a995b9dd7,Local Government
45465572-310c-49af-bc6f-153cc455622f,Local Government
c9b3b008-5f5e-496f-8edf-0339d29efa1d,Local Government
495db71c-503e-463a-a8fd-6af8120e8bc5,Local Government
a838dbd6-433d-4f28-a8a4-1a626d1f801a,Local Government
9badb3c5-bc1d-4b93-81a7-06bfaef47b36,Local Government
2faae955-2419-4584-b02b-59876bf6a9f2,Climate
9554ea75-f1be-4aa3-8e4e-171aee478487,Local Government
5165e91a-94aa-4f9e-b55c-f6c946f149b4,ClimateHuman HealthFood Resilience
